Num,Max Depth,n_estimators,Max Features,Accuracy,Precision,Recall,F1 Score,Micro F1
0,3,50,0.25,0.8053097345132744,0.6545537133772428,0.8101483769686535,0.678312629399586,0.8053097345132744
1,3,50,0.5,0.7964601769911505,0.6460512846121196,0.7962222109687547,0.6667414649783618,0.7964601769911505
2,3,50,1,0.7853982300884956,0.6194690265486726,0.7317567225401327,0.635253402549,0.7853982300884956
3,3,100,0.25,0.8086283185840708,0.6539723278207676,0.8030460323087052,0.6785966037185234,0.8086283185840708
4,3,100,0.5,0.7920353982300885,0.643339016976796,0.793740821390591,0.6625365357732875,0.7920353982300885
5,3,100,1,0.786504424778761,0.6217407713480697,0.7368587633564592,0.6380061206494112,0.786504424778761
6,3,150,0.25,0.8042035398230089,0.6510097636993926,0.8005646427305413,0.6742342342342342,0.8042035398230089
7,3,150,0.5,0.7876106194690266,0.6407094801223242,0.7912594318124272,0.6583845063769485,0.7876106194690264
8,3,150,1,0.7942477876106194,0.6343181524964521,0.7636096622271737,0.6536255767963085,0.7942477876106194
9,4,50,0.25,0.827433628318584,0.6690622308354867,0.8180736314376867,0.6993835213465326,0.827433628318584
10,4,50,0.5,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089
11,4,50,1,0.8053097345132744,0.6356200239938925,0.7518863624854408,0.657384038933632,0.8053097345132744
12,4,100,0.25,0.8230088495575221,0.6643218230935887,0.8111105484377374,0.6932161400889131,0.8230088495575222
13,4,100,0.5,0.8042035398230089,0.652423788105947,0.805046336152327,0.675739429127276,0.8042035398230089
14,4,100,1,0.8042035398230089,0.6363688527356803,0.7557477085126855,0.6580550717514184,0.8042035398230089
15,4,150,0.25,0.8252212389380531,0.6660206718346253,0.8123512432268193,0.6955294639278984,0.8252212389380531
16,4,150,0.5,0.8064159292035398,0.6552831179347035,0.8107687243631945,0.6794033903800751,0.8064159292035398
17,4,150,1,0.8119469026548672,0.6506379585326953,0.7869803008051856,0.6756574226499514,0.8119469026548671
18,5,50,0.25,0.838495575221239,0.6781372576292876,0.8242771053830962,0.7113311870100785,0.838495575221239
19,5,50,0.5,0.8252212389380531,0.6660206718346253,0.8123512432268193,0.6955294639278984,0.8252212389380531
20,5,50,1,0.8484513274336283,0.6698587127158556,0.7671165240289664,0.6989940381142651,0.8484513274336283
21,5,100,0.25,0.8396017699115044,0.6790920827663212,0.8248974527776372,0.7125533151321777,0.8396017699115044
22,5,100,0.5,0.8362831858407079,0.6762544208664898,0.8230364105940142,0.7089022914980463,0.8362831858407079
23,5,100,1,0.8351769911504425,0.6581364680202815,0.7641540487162607,0.6860869707075721,0.8351769911504425
24,5,150,0.25,0.8351769911504425,0.6740585948058969,0.8179343697776877,0.7061701733145731,0.8351769911504425
25,5,150,0.5,0.8285398230088495,0.6699328315387991,0.8186939788322276,0.7005567012512421,0.8285398230088495
26,5,150,1,0.8373893805309734,0.6669297929991262,0.7878032106142705,0.6972876437102355,0.8373893805309734
