Num,Max Depth,n_estimators,Learning Rate,Accuracy,Precision,Recall,F1 Score,Micro F1
0,3,50,0.1,0.8982300884955752,0.7473118279569892,0.597837646224743,0.6292373259152267,0.8982300884955752
1,3,50,0.01,0.9004424778761062,0.7521029694942738,0.6259685015445384,0.6604567307692308,0.9004424778761062
2,3,50,0.001,0.9004424778761062,0.7521029694942738,0.6259685015445384,0.6604567307692308,0.9004424778761062
3,3,100,0.1,0.9026548672566371,0.7543443917851501,0.663062743707905,0.6948523206751056,0.9026548672566371
4,3,100,0.01,0.9004424778761062,0.7535940803382664,0.6214868081227528,0.6560877872275671,0.9004424778761062
5,3,100,0.001,0.9004424778761062,0.7521029694942738,0.6259685015445384,0.6604567307692308,0.9004424778761062
6,3,150,0.1,0.8993362831858407,0.7403223675518562,0.6612017015242821,0.689765317705446,0.8993362831858407
7,3,150,0.01,0.9004424778761062,0.7571759259259259,0.6125234212791817,0.6469669356938297,0.9004424778761062
8,3,150,0.001,0.9004424778761062,0.7521029694942738,0.6259685015445384,0.6604567307692308,0.9004424778761062
9,4,50,0.1,0.9081858407079646,0.7906973857345019,0.6482377069934674,0.6888382026665562,0.9081858407079646
10,4,50,0.01,0.8993362831858407,0.7423599957168862,0.6432749278371399,0.675121931955058,0.8993362831858407
11,4,50,0.001,0.8993362831858407,0.7423599957168862,0.6432749278371399,0.675121931955058,0.8993362831858407
12,4,100,0.1,0.8993362831858407,0.7417407154249259,0.6477566212589254,0.6789259020744297,0.8993362831858407
13,4,100,0.01,0.8971238938053098,0.7330443651198368,0.6330708462044867,0.6639902161010683,0.8971238938053098
14,4,100,0.001,0.8993362831858407,0.7423599957168862,0.6432749278371399,0.675121931955058,0.8993362831858407
15,4,150,0.1,0.8926991150442478,0.7147292527791933,0.6440345368916798,0.6693102837080028,0.8926991150442478
16,4,150,0.01,0.9059734513274337,0.7881327191023938,0.6290702385172431,0.6687802544064209,0.9059734513274338
17,4,150,0.001,0.8993362831858407,0.7423599957168862,0.6432749278371399,0.675121931955058,0.8993362831858407
18,5,50,0.1,0.9070796460176991,0.779162152401589,0.6565807464424976,0.6946682750301567,0.9070796460176991
19,5,50,0.01,0.8982300884955752,0.7397780373831775,0.6247278067554565,0.6572540098577386,0.8982300884955752
20,5,50,0.001,0.9026548672566371,0.758757674250632,0.6451359700207626,0.6801286690792119,0.9026548672566371
21,5,100,0.1,0.9015486725663717,0.7495186978589348,0.6624423963133641,0.6931397340107022,0.9015486725663717
22,5,100,0.01,0.9026548672566371,0.758757674250632,0.6451359700207626,0.6801286690792119,0.9026548672566371
23,5,100,0.001,0.9026548672566371,0.7601873536299766,0.6406542765989771,0.6761966786063172,0.9026548672566371
24,5,150,0.1,0.9004424778761062,0.7439068489187821,0.6707854357623944,0.6982374933238384,0.9004424778761062
25,5,150,0.01,0.9026548672566371,0.7601873536299766,0.6406542765989771,0.6761966786063172,0.9026548672566371
26,5,150,0.001,0.9026548672566371,0.7635552852944157,0.6316908897554059,0.6680021367521368,0.9026548672566371
